brand,model,price,processor_brand,processor_tier,num_cores,ram_memory,storage_capacity,gpu_brand,is_touch_screen,display_size,os
acer,Acer 16 Predator Neo NH.QLTSI.001 Laptop,39899,intel,core i5,14,16,512,nvidia,FALSE,16,windows
acer,Acer Aspire 3 14 A314-36M Laptop,12194,intel,core i3,8,8,512,intel,FALSE,14,windows
acer,Acer Aspire 3 15 A315-510P Laptop,12536,intel,core i3,8,8,512,intel,FALSE,15.6,windows
acer,Acer Aspire 3 15 A315-510P UN.KDHSI.019 Laptop,11396,intel,core i3,8,8,512,intel,FALSE,15.6,windows
acer,Acer Aspire 3 A315-24P Laptop,10636,amd,ryzen 3,4,8,256,amd,FALSE,15.6,windows
acer,Acer Aspire 3 A315-24P NX.KDESI.003 Laptop,11396,amd,ryzen 3,4,8,512,amd,FALSE,15.6,windows
acer,Acer Aspire 3 A315-24P NX.KDESI.00B Laptop,12536,amd,ryzen 5,4,8,512,amd,FALSE,15.6,windows
acer,Acer Aspire 3 A315-510P Laptop,11392,intel,core i3,8,8,256,intel,FALSE,15.6,windows
acer,Acer Aspire 3 A315-59 NX.K6TSI.00C Laptop,12156,intel,core i3,6,8,512,intel,FALSE,15.6,windows
acer,Acer Aspire 3 NX.KDESI.008 Laptop,11206,amd,ryzen 3,4,8,512,amd,FALSE,15.6,windows
acer,Acer Aspire 3 Spin 14 NX.KENSI.002 Laptop,15766,intel,core i3,8,8,512,intel,FALSE,14,windows
acer,Acer Aspire 5 14 A514-56GM 2023 Gaming Laptop,21656,intel,core i5,10,16,512,nvidia,FALSE,14,windows
acer,Acer Aspire 5 2023 A515-58GM Gaming Laptop,23446,intel,core i5,10,16,512,nvidia,FALSE,15.6,windows
acer,Acer Aspire 5 2023 A515-58M Gaming Laptop,28689,intel,core i7,10,8,512,nvidia,FALSE,15.6,windows
acer,Acer Aspire 5 A514-56M NX.KH6SI.001 Gaming Laptop,21656,intel,core i5,10,16,512,intel,FALSE,14,windows
acer,Acer Aspire 5 A515-56G Laptop,17097,intel,core i5,4,8,512,nvidia,FALSE,15.6,windows
acer,Acer Aspire 5 A515-57 NX.K3JSI.006 Laptop,17856,intel,core i5,10,8,512,intel,FALSE,15.6,windows
acer,Acer Aspire 5 A515-57 UN.K3JSI.013 Laptop,15196,intel,core i3,6,16,512,intel,FALSE,15.6,windows
acer,Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop,21656,intel,core i5,12,16,512,nvidia,FALSE,15.6,windows
acer,Acer Aspire 5 A515-58GM 15 2023 Gaming Laptop,24319,intel,core i5,8,16,512,nvidia,FALSE,15.6,windows
